	Cell Line HMS LINCS ID	Cell Line Name	Protein HMS LINCS ID	Protein Name	Ligand Concentration	Conc unit	Measured pAkt:10min log10(a.u.)	Measured pAkt:30min log10(a.u.)	Measured pAkt:90min log10(a.u.)	Measured pErk:10min log10(a.u.)	Measured pErk:30min log10(a.u.)	Measured pErk:90min log10(a.u.)	Control pAkt (a.u.)	Control pErk (a.u.)
140	50574	ZR-75-1	200863.0	EFNA1	1.0	ng/ml	3.6355058631	3.56523406225	3.64028233142	2.69356691621	1.60247237523	2.42194925106	3.60962567303	2.98148154722
141	50574	ZR-75-1	200863.0	EFNA1	100.0	ng/ml	3.39855696328	3.35731763427	3.44753756292	2.67515852603	1.60247237523	3.33977132993	3.60962567303	2.98148154722
142	50575	ZR-75-30	200863.0	EFNA1	1.0	ng/ml	3.90139532506	3.80120696368	3.91528768516	4.25303939794	4.19702815281	4.26737019084	3.85149824544	4.22718736459
143	50575	ZR-75-30	200863.0	EFNA1	100.0	ng/ml	3.89824159534	3.81174600916	3.88334772152	4.24290798904	4.22151558748	4.24197936396	3.85149824544	4.22718736459
144	50576	184B5	200863.0	EFNA1	1.0	ng/ml	3.68726072162	3.57696216626	3.78778405565	3.92757555207	3.9135568011	3.93728152336	3.72661760306	3.89756974964
145	50576	184B5	200863.0	EFNA1	100.0	ng/ml	3.68928105983	3.60289119505	3.76873604691	3.95248232258	3.94595406369	4.04379317515	3.72661760306	3.89756974964
146	50578	HCC1187	200863.0	EFNA1	1.0	ng/ml	4.17258620705	4.15575157687	4.15232213852	2.82379559249	2.39500120587	2.39500120587	4.14477991173	2.39500120587
147	50578	HCC1187	200863.0	EFNA1	100.0	ng/ml	4.14867858801	4.13813558109	4.14317730221	2.39500120587	2.39500120587	2.63416781329	4.14477991173	2.39500120587
148	50579	HCC1500	200863.0	EFNA1	1.0	ng/ml	3.09490450803	3.27991640924	3.27394827472	3.48815064295	3.48815064295	3.48815064295	3.29459891923	3.48815064295
149	50579	HCC1500	200863.0	EFNA1	100.0	ng/ml	3.27971963099	3.09490450803	3.33187249849	3.48815064295	3.48815064295	3.48815064295	3.29459891923	3.48815064295
